Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees
4,1041;-179,8994574;-0,105372153;359,8994574
4,120783333;179,8782974;359,7777548;0,121702639
4,137466667;-179,685063;-359,5633603;359,685063
4,15415;179,9419386;359,6270016;0,058061369
4,170833333;-179,8119386;-359,7538772;359,8119386
4,187516667;179,7915061;359,6034447;0,208493923
4,2042;179,9823394;0,190833331;0,017660592
4,220883333;179,9247073;-0,057632113;0,075292706
4,237566667;179,9661743;0,041466982;0,033825724
4,25425;-179,9247457;-359,89092;359,9247457
4,270933333;-179,6728025;0,251943162;359,6728025
4,287616667;179,9851787;359,6579813;0,014821258
4,3043;-179,9806052;-359,9657839;359,9806052
4,320983333;-179,9087577;0,071847403;359,9087577
4,337666667;179,9044523;359,81321;0,095547733
4,35435;179,9564105;0,051958255;0,043589477
4,371033333;-179,9568896;-359,9133001;359,9568896
4,387716667;-179,8998131;0,057076445;359,8998131
4,4044;-179,7053724;0,194440719;359,7053724
4,421083333;179,9616374;359,6670098;0,038362619
4,437766667;-179,9375854;-359,8992228;359,9375854
4,45445;179,9643977;359,9019831;0,035602344
4,471133333;-179,8086561;-359,7730538;359,8086561
4,487816667;-179,9815764;-0,172920272;359,9815764
4,5045;-179,7604094;0,221167048;359,7604094
4,521183333;-179,7224001;0,038009227;359,7224001
4,537866667;-179,7548099;-0,032409737;359,7548099
4,55455;-179,6562167;0,098593211;359,6562167
4,571233333;179,7140586;359,3702753;0,285941378
4,587916667;-179,953502;-359,6675606;359,953502
4,6046;-179,6155885;0,337913434;359,6155885
4,621283333;-179,9232839;-0,307695369;359,9232839
4,637966667;-179,6746113;0,248672606;359,6746113
4,65465;-179,8677372;-0,193125937;359,8677372
4,671333333;-179,8489829;0,018754317;359,8489829
4,688016667;-179,9727784;-0,123795537;359,9727784
4,7047;-179,7474158;0,225362608;359,7474158
4,721383333;179,9457633;359,6931791;0,054236693
4,738066667;-179,883819;-359,8295823;359,883819
4,75475;-179,7657543;0,118064709;359,7657543
4,771433333;-179,6894351;0,076319157;359,6894351
4,788116667;-179,8545223;-0,1650872;359,8545223
4,8048;-179,9068148;-0,052292434;359,9068148
4,821483333;-179,8992827;0,007532038;359,8992827
4,838166667;-179,9446445;-0,045361764;359,9446445
4,85485;-179,634801;0,309843515;359,634801
4,871533333;-179,7314474;-0,096646422;359,7314474
4,888216667;179,9525732;359,6840206;0,047426791
4,9049;-179,9557868;-359,90836;359,9557868
4,921583333;179,9009592;359,8567459;0,099040831
4,938266667;-179,9761534;-359,8771126;359,9761534
4,95495;179,9038682;359,8800216;0,09613176
4,971633333;-179,9686381;-359,8725064;359,9686381
4,988316667;-179,9692553;-0,000617172;359,9692553
5,005;-179,9483901;0,020865159;359,9483901
5,021683333;-179,7952729;0,153117197;359,7952729
5,038366667;-179,9645565;-0,16928354;359,9645565
5,05505;179,9301269;359,8946834;0,069873111
5,071733333;-179,9240163;-359,8541431;359,9240163
5,088416667;-179,9926026;-0,068586334;359,9926026
5,1051;-179,996602;-0,003999433;359,996602
5,121783333;-179,8374013;0,159200743;359,8374013
5,138466667;-179,9890089;-0,15160763;359,9890089
5,15515;-179,9881828;0,000826143;359,9881828
5,171833333;179,9793446;359,9675274;0,020655365
5,188516667;-179,9364454;-359,91579;359,9364454
5,2052;-179,7926473;0,143798109;359,7926473
5,221883333;-179,4329126;0,359734658;359,4329126
5,238566667;179,9431129;359,3760255;0,056887135
5,25525;179,5355907;-0,407522164;0,464409299
5,271933333;178,974888;-0,560702732;1,025112031
5,288616667;178,4783348;-0,496553169;1,5216652
5,3053;177,3305289;-1,147805876;2,669471076
5,321983333;176,785047;-0,545481915;3,214952991
5,338666667;177,2590508;0,474003816;2,740949175
5,35535;176,1957161;-1,063334683;3,804283858
