Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
1,568233333;-165,9523086;-0,067825277;-0,072308583;;;;
1,584916667;-165,9544533;-0,002144733;-0,074453317;;;;
1,6016;-166,0371937;-0,082740408;-0,157193724;;;;
1,618283333;-166,0213896;0,015804095;-0,141389629;;;;
1,634966667;-166,0273298;-0,005940214;-0,147329843;;;;
1,65165;-165,9615676;0,065762212;-0,081567631;;;;
1,668333333;-165,938465;0,023102612;-0,058465018;;;;
1,685016667;-166,0322952;-0,093830161;-0,15229518;;;;
1,7017;-166,0107506;0,021544607;-0,130750573;;;;
1,718383333;-165,9669236;0,043826947;-0,086923626;;;;
1,735066667;-165,9884743;-0,021550655;-0,108474281;;;;
1,75175;-165,9978509;-0,009376667;-0,117850948;;;;
1,768433333;-165,9804117;0,017439206;-0,100411742;;;;
1,785116667;-166,0466148;-0,066203085;-0,166614827;;;;
1,8018;-166,0531596;-0,00654477;-0,173159596;;;;
1,818483333;-166,0078835;0,045276118;-0,127883478;;;;
1,835166667;-165,8795224;0,12836108;0,000477602;;;;
1,85185;-165,9136364;-0,03411397;-0,033636368;;;;
1,868533333;-165,8871785;0,026457828;-0,00717854;;;;
1,885216667;-165,9007721;-0,013593531;-0,020772071;;;;
1,9019;-166,0055426;-0,104770569;-0,12554264;;;;
1,918583333;-165,950277;0,055265607;-0,070277033;;;;
1,935266667;-165,9926964;-0,042419334;-0,112696367;;;;
1,95195;-165,9244729;0,06822344;-0,044472927;;;;
1,968633333;-165,9759922;-0,051519283;-0,09599221;;;;
1,985316667;-166,0201493;-0,044157112;-0,140149322;;;;
2,002;-165,9653822;0,054767073;-0,085382249;;;;
2,018683333;-166,0911232;-0,125740926;-0,211123175;;;;
2,035366667;-166,0232239;0,067899267;-0,143223908;;;;
2,05205;-165,9539462;0,069277758;-0,07394615;;;;
2,068733333;-165,9706607;-0,016714512;-0,090660662;;;;
2,085416667;-165,9726452;-0,001984529;-0,09264519;;;;
2,1021;-165,9231018;0,04954344;-0,043101751;;;;
2,118783333;-165,9619454;-0,038843662;-0,081945413;;;;
2,135466667;-165,9003519;0,061593467;-0,020351946;;;;
2,15215;-165,9830295;-0,082677574;-0,10302952;;;;
2,168833333;-165,9433166;0,039712892;-0,063316628;;;;
2,185516667;-165,9322754;0,011041228;-0,0522754;;;;
2,2022;-165,9711394;-0,038863962;-0,091139362;;;;
2,218883333;-165,9898779;-0,018738504;-0,109877866;;;;
2,235566667;-165,9658202;0,024057635;-0,085820231;;;;
2,25225;-165,9959755;-0,030155274;-0,115975505;;;;
2,268933333;-165,9827782;0,013197301;-0,102778204;;;;
2,285616667;-165,9489097;0,033868462;-0,068909741;;;;
2,3023;-165,8896323;0,059277398;-0,009632343;;;;
2,318983333;-165,992329;-0,102696633;-0,112328976;;;;
2,335666667;-165,890608;0,101721025;-0,010607951;;;;
2,35235;-165,9631841;-0,072576148;-0,083184099;;;;
